Dog Breed Details Analysis
==========================
Breed: affenpinscher, Details: 1
Breed: african, Details: 1
Breed: airedale, Details: 1
Breed: akita, Details: 1
Breed: appenzeller, Details: 1
Breed: australian, Details: 1
Breed: bakharwal, Details: 1
Breed: basenji, Details: 1
Breed: beagle, Details: 1
Breed: bluetick, Details: 1
Breed: borzoi, Details: 1
Breed: bouvier, Details: 1
Breed: boxer, Details: 1
Breed: brabancon, Details: 1
Breed: briard, Details: 1
Breed: buhund, Details: 1
Breed: bulldog, Details: 1
Breed: bullterrier, Details: 1
Breed: cattledog, Details: 1
Breed: cavapoo, Details: 1
Breed: chihuahua, Details: 1
Breed: chippiparai, Details: 1
Breed: chow, Details: 1
Breed: clumber, Details: 1
